0,1,2,3,4,5
4698379,0.0,5,2020-10-10,False,True
4698381,0.6983206806496327,5,2020-10-11,True,True
4698377,0.04819852053822026,4,2020-10-11,True,True
4698380,0.2522496485165911,5,2020-10-11,True,True
4698386,0.03563901903161483,5,2020-10-11,True,True
4698383,0.0,3,2020-10-11,True,True
4698385,0.0,4,2020-10-11,True,True
4698382,0.029660802563493748,5,2020-10-11,True,True
4698389,0.741348895055745,5,2020-10-14,False,True
4893905,0.7999205835404968,5,2020-10-14,False,True
4698390,0.0,5,2020-10-14,False,True
4698394,0.0,5,2020-10-15,False,True
4698391,0.11239656406604777,5,2020-10-15,False,True
4698393,0.246806446859785,5,2020-10-15,False,True
4698387,0.7249130936200993,5,2020-10-15,False,True
4396073,0.0,5,2020-10-17,False,True
4396071,0.0,4,2020-10-17,False,True
4396064,1.0291068180093141,5,2020-10-17,False,True
4396066,0.42546945171834694,5,2020-10-18,False,True
4396068,0.3230681561550335,5,2020-10-18,False,True
4396069,0.0,5,2020-10-18,False,True
4396072,0.0,5,2020-10-18,False,True
4396067,0.0,4,2020-10-18,False,True
4396070,0.48879069763138144,5,2020-10-19,False,True
4396065,1.0990880319539693,5,2020-10-19,False,True
4396077,0.0,5,2020-10-24,False,True
4396082,0.0,4,2020-10-24,False,True
4396078,0.7541582714989179,5,2020-10-25,False,True
4396083,0.023965224634732905,5,2020-10-25,False,True
4396074,0.07651443386124762,5,2020-10-25,False,True
4396081,0.06462643569926824,5,2020-10-25,False,True
4396079,0.019630121613225207,3,2020-10-25,False,True
4396085,0.9774350388359574,5,2020-10-31,False,True
4396088,0.0,5,2020-10-31,False,True
4396091,0.0,3,2020-10-31,False,True
4396092,0.0,5,2020-11-01,False,True
4396084,0.00033408953499345826,5,2020-11-01,False,True
4396090,0.0,5,2020-11-01,False,True
4396087,0.00023868559306297423,5,2020-11-01,False,True
4396093,1.0339500613712107,5,2020-11-01,False,True
4396086,0.45117335891687893,5,2020-11-02,False,True
4396089,0.0,5,2020-11-02,False,True
4396101,,3,2020-11-07,False,False
4396096,,5,2020-11-07,False,False
4396103,0.0,4,2020-11-08,True,True
4396099,0.5101928664817406,5,2020-11-08,True,True
4396095,0.0,5,2020-11-08,True,True
4396098,0.13202182100932006,5,2020-11-08,True,True
4396100,0.0,4,2020-11-08,True,True
4396097,0.0,4,2020-11-08,True,True
4396102,0.0,4,2020-11-08,True,True
4396094,0.0,5,2020-11-08,True,True
4396107,,5,2020-11-14,False,False
4396110,,5,2020-11-14,False,False
4396113,,5,2020-11-14,False,False
4396108,,5,2020-11-14,False,False
4396112,,5,2020-11-14,False,False
4396109,,3,2020-11-14,False,False
4396104,0.9866808738817399,5,2020-11-15,False,True
4396106,0.0,5,2020-11-15,False,True
4396111,0.337594318666403,4,2020-11-16,False,True
4396105,1.0124705932944131,5,2020-11-16,False,True
4396121,0.0,5,2020-11-21,False,True
4396114,0.0,5,2020-11-21,False,True
4396123,1.343739490832242e-39,5,2020-11-22,False,True
4396122,6.221183202896881e-40,5,2020-11-22,False,True
4396116,1.3536916989456368e-27,5,2020-11-22,False,True
4396115,0.0,4,2020-11-22,False,True
4396119,1.0787601237414133,5,2020-11-22,False,True
4396118,3.371479929311858e-40,5,2020-11-22,False,True
4396128,0.7646579241609194,5,2020-11-26,False,True
4396131,0.0,3,2020-11-26,False,True
4396132,0.45713659966206055,5,2020-11-26,False,True
4396126,0.45543123092529775,5,2020-11-28,False,True
4396127,0.0,5,2020-11-28,False,True
4396130,0.795488607504438,5,2020-11-28,False,True
4943789,0.13041182442442759,5,2020-11-30,False,True
4396125,0.007731984545654541,3,2020-11-30,False,True
4396124,0.930740324099178,5,2020-11-30,False,True
4396142,0.0,4,2020-12-03,False,True
4943793,0.794907042663383,5,2020-12-03,False,True
4396135,0.31413660522129155,5,2020-12-05,False,True
4396137,0.7539740135314742,5,2020-12-05,False,True
4396140,0.0,4,2020-12-05,False,True
4396134,0.16610461163204782,3,2020-12-05,False,True
4396141,0.0,5,2020-12-06,False,True
4396139,0.6305687972182854,5,2020-12-06,False,True
4396136,0.0,5,2020-12-06,False,True
4396138,0.4297760013684444,5,2020-12-06,False,True
4396151,0.9114517111986715,5,2020-12-12,False,True
4396147,0.2607296243870204,5,2020-12-12,False,True
4396149,0.20437760515298942,5,2020-12-12,False,True
4396146,0.2515168164160905,5,2020-12-12,False,True
4396152,0.0,5,2020-12-13,True,True
4396153,0.0,5,2020-12-13,True,True
4396144,0.00018911530628832286,5,2020-12-13,True,True
4396148,0.043817168258892515,5,2020-12-13,True,True
4396150,0.9056123934770629,5,2020-12-13,True,True
4396145,0.06131274795115737,5,2020-12-13,True,True
4396163,0.6300205373703552,4,2020-12-17,False,True
4396156,0.4846026896336874,5,2020-12-17,False,True
4396161,,5,2020-12-20,True,False
4396159,,5,2020-12-20,True,False
4396157,,5,2020-12-20,True,False
4396155,,4,2020-12-20,True,False
